# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,
# Wed Jun 26 22:13:17 2024,,,,,,,,,,,,,
#,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,
#,,,,,,,,,,,,,
# CONSTRAINT:  where (koi_sma > 0),,,,,,,,,,,,,
#,,,,,,,,,,,,,
# COLUMN kepid:          KepID,,,,,,,,,,,,,
# COLUMN koi_disposition: Exoplanet Archive Disposition,,,,,,,,,,,,,
# COLUMN koi_period:     Orbital Period [days],,,,,,,,,,,,,
# COLUMN koi_duration:   Transit Duration [hrs],,,,,,,,,,,,,
# COLUMN koi_ror:        Planet-Star Radius Ratio,,,,,,,,,,,,,
# COLUMN koi_prad:       Planetary Radius [Earth radii],,,,,,,,,,,,,
# COLUMN koi_sma:        Orbit Semi-Major Axis [au],,,,,,,,,,,,,
# COLUMN koi_incl:       Inclination [deg],,,,,,,,,,,,,
# COLUMN koi_teq:        Equilibrium Temperature [K],,,,,,,,,,,,,
# COLUMN koi_insol:      Insolation Flux [Earth flux],,,,,,,,,,,,,
# COLUMN koi_dor:        Planet-Star Distance over Star Radius,,,,,,,,,,,,,
# COLUMN koi_steff:      Stellar Effective Temperature [K],,,,,,,,,,,,,
# COLUMN koi_srad:       Stellar Radius [Solar radii],,,,,,,,,,,,,
# COLUMN koi_smass:      Stellar Mass [Solar mass],,,,,,,,,,,,,
#,,,,,,,,,,,,,
kepid,koi_disposition,koi_period,koi_duration,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_srad,koi_smass
8561063,CONFIRMED,0.453287416,0.4445,0.046729,0.76,0.0059,81.11,729,66.14,5.24,3292,0.148,0.132
7818447,FALSE POSITIVE,0.618952198,2.8244,0.391534,4.96,0.0065,36.86,497,14.29,1.603,2661,0.116,0.094
7582691,CANDIDATE,0.259819659,0.6513,0.021215,1.22,0.0065,45.08,1559,1410.9,1.376,3939,0.526,0.55
7185487,FALSE POSITIVE,0.53482911,0.996,0.024733,0.54,0.0072,84.8,753,75.82,3.99,3229,0.201,0.178
7516809,FALSE POSITIVE,0.241842544,0.7257,0.013375,1.16,0.0073,83.08,2689,12357.89,2.542,5834,0.797,0.875
5695904,FALSE POSITIVE,0.423854275,1.0198,0.014309,0.58,0.008,81.32,1062,301.79,2.971,3553,0.368,0.383
7954278,CANDIDATE,0.306702491,0.9074,0.010797,0.93,0.008,86.24,2318,6868.33,2.643,5310,0.786,0.732
12170648,FALSE POSITIVE,0.299697755,0.8473,0.0238,2.03,0.0081,44.72,2246,6005.79,1.356,5180,0.782,0.787
7269881,FALSE POSITIVE,0.306937807,0.5925,0.010129,0.82,0.0081,89.92,2142,5019.53,4.04,5088,0.741,0.762
10153827,FALSE POSITIVE,0.293630085,2.3857,0.286276,26.35,0.0084,18.91,2503,9283.34,1.302,5665,0.843,0.928
10340212,FALSE POSITIVE,0.93374894,4.637,0.014217,0.18,0.0085,73.02,433,8.36,1.564,2661,0.116,0.094
10879656,FALSE POSITIVE,0.364860478,1.4736,0.009721,0.68,0.0086,82.14,1993,3703.08,1.9491,5220,0.642,0.63
