# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 26 22:07:03 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
#
kepid,koi_disposition,koi_period,koi_duration,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_srad,koi_smass
10797460,CONFIRMED,9.488035570,2.95750,0.022344,2.26,0.0853,89.66,793.0,93.59,24.810000,5455.00,0.9270,0.9190
10797460,CONFIRMED,54.418382700,4.50700,0.027954,2.83,0.2734,89.57,443.0,9.11,77.900000,5455.00,0.9270,0.9190
10811496,CANDIDATE,19.899139950,1.78220,0.154046,14.60,0.1419,88.96,638.0,39.30,53.500000,5853.00,0.8680,0.9610
10848459,FALSE POSITIVE,1.736952453,2.40641,0.387394,33.46,0.0267,67.09,1395.0,891.96,3.278000,5805.00,0.7910,0.8360
10854555,CONFIRMED,2.525591777,1.65450,0.024064,2.75,0.0374,85.41,1406.0,926.16,8.750000,6031.00,1.0460,1.0950
10872983,CONFIRMED,11.094320540,4.59450,0.036779,3.90,0.0992,88.11,835.0,114.81,16.360000,6046.00,0.9720,1.0530
10872983,CONFIRMED,4.134435120,3.14020,0.026133,2.77,0.0514,83.72,1160.0,427.65,6.960000,6046.00,0.9720,1.0530
10872983,CONFIRMED,2.566588970,2.42900,0.014983,1.59,0.0374,82.17,1360.0,807.74,5.540000,6046.00,0.9720,1.0530
6721123,FALSE POSITIVE,7.361789580,5.02200,0.183387,39.21,0.0820,60.92,1342.0,767.22,2.400000,6227.00,1.9580,1.3580
10910878,CONFIRMED,16.068646740,3.53470,0.062161,5.76,0.1158,89.92,600.0,30.75,36.850000,5031.00,0.8480,0.8010
11446443,CONFIRMED,2.470613377,1.74319,0.123871,13.04,0.0354,84.41,1339.0,761.46,8.397700,5820.00,0.9640,0.9710
10666592,CONFIRMED,2.204735417,3.88864,0.075522,16.10,0.0376,87.21,2048.0,4148.92,4.602000,6440.00,1.9520,1.4490
6922244,CONFIRMED,3.522498429,3.19843,0.092086,14.59,0.0473,85.20,1521.0,1264.67,7.541000,6225.00,1.4510,1.1320
10984090,CONFIRMED,3.709214104,2.63020,0.010424,1.16,0.0465,89.73,1206.0,500.46,10.888000,5833.00,1.0220,0.9740
10419211,FALSE POSITIVE,11.521446064,3.63990,1.625358,150.51,0.0978,83.13,753.0,75.88,20.750000,5795.00,0.8480,0.9380
10464078,FALSE POSITIVE,19.403937760,12.21550,0.096729,7.18,0.1230,84.93,523.0,17.69,9.099000,5043.00,0.6800,0.6570
10480982,FALSE POSITIVE,19.221388942,4.79843,0.476633,49.29,0.1417,88.05,698.0,55.97,31.323000,6117.00,0.9470,1.0250
10485250,FALSE POSITIVE,16.469837740,9.43780,0.092509,7.94,0.1147,88.81,595.0,29.61,14.050000,5152.00,0.7860,0.7410
10526549,CONFIRMED,9.273581730,3.28750,0.032563,2.47,0.0759,88.93,649.0,41.85,20.650000,4856.00,0.6960,0.6760
10583066,CONFIRMED,6.029303290,1.58210,0.038838,2.85,0.0585,89.50,678.0,50.04,29.310000,4537.00,0.6720,0.7610
10583180,FALSE POSITIVE,2.696370652,3.61290,0.017673,1.58,0.0349,89.56,1066.0,305.34,5.827000,4989.00,0.8190,0.7810
10601284,CONFIRMED,5.349553819,3.02780,0.025706,2.55,0.0563,89.62,919.0,168.99,13.801500,5185.00,0.9100,0.8310
10601284,CONFIRMED,3.941052210,2.59840,0.017105,1.70,0.0460,88.88,1018.0,253.15,11.510000,5185.00,0.9100,0.8310
10601284,CONFIRMED,8.109048070,3.59600,0.013127,1.30,0.0743,89.92,800.0,97.03,17.460000,5185.00,0.9100,0.8310
2306756,FALSE POSITIVE,386.603052800,6.80570,0.240528,41.50,1.0719,89.95,297.0,1.84,332.000000,5543.00,1.5800,1.1030
10662202,CONFIRMED,21.676991930,3.45550,0.032666,2.95,0.1408,87.91,530.0,18.64,24.600000,4954.00,0.8280,0.7910
10682541,CONFIRMED,4.996779680,2.17170,0.030014,2.78,0.0559,86.90,917.0,166.95,13.140000,5339.00,0.8470,0.9310
11460018,CONFIRMED,4.280963604,2.87500,0.025377,2.30,0.0503,87.72,1012.0,247.87,10.640000,5644.00,0.8310,0.9280
11463211,FALSE POSITIVE,1.506354090,1.51550,0.049899,4.53,0.0250,79.38,1452.0,1054.12,4.670000,5714.00,0.8310,0.9260
11465813,FALSE POSITIVE,670.645531000,53.41200,0.131705,14.14,1.5155,89.53,196.0,0.35,85.240000,5520.00,0.9830,1.0300
11493732,FALSE POSITIVE,61.256362800,7.63300,0.334628,39.87,0.3137,87.54,505.0,15.43,29.100000,6144.00,1.0910,1.0930
11507101,CONFIRMED,38.377548600,5.58800,0.024901,2.82,0.2163,89.44,529.0,18.53,47.800000,5481.00,1.0360,0.9150
10910878,CONFIRMED,41.197255020,4.62970,0.041693,3.86,0.2170,89.96,439.0,8.76,70.750000,5031.00,0.8480,0.8010
10910878,CONFIRMED,6.252962249,2.58190,0.028604,2.65,0.0617,89.68,823.0,108.30,18.940000,5031.00,0.8480,0.8010
10987985,CONFIRMED,16.013084190,3.25540,0.034369,3.10,0.1148,88.14,593.0,29.31,24.700000,5015.00,0.8260,0.7850
11018648,CONFIRMED,32.628766720,4.79710,0.038520,3.36,0.1889,89.98,506.0,15.55,53.950000,5586.00,0.7980,0.8440
11018648,CONFIRMED,91.773286200,6.47300,0.024320,2.12,0.3764,89.61,359.0,3.92,89.400000,5586.00,0.7980,0.8440
11138155,CONFIRMED,4.959319244,2.22739,0.103379,12.21,0.0565,86.15,1103.0,349.40,12.386000,5712.00,1.0820,0.9760
11152159,FALSE POSITIVE,2.701287801,3.38270,0.065840,6.54,0.0365,62.69,1222.0,527.81,2.220000,5550.00,0.9100,0.8890
11153539,CONFIRMED,4.498765110,3.73620,0.019817,2.10,0.0542,88.00,1133.0,389.62,8.950000,6075.00,0.9690,1.0480
11242721,FALSE POSITIVE,19.651209505,5.25140,0.106953,12.42,0.1433,88.27,730.0,67.03,23.980000,6074.00,1.0630,1.0140
9579641,CONFIRMED,5.412203927,2.94720,0.024775,2.94,0.0591,85.12,1093.0,337.68,9.250000,5779.00,1.0870,0.9410
11304958,CONFIRMED,41.439586620,10.59890,0.048175,5.50,0.2288,89.31,516.0,16.72,29.470000,5468.00,1.0460,0.9300
11391957,CONFIRMED,8.353895230,2.25140,0.029305,2.52,0.0768,89.95,790.0,91.90,29.180000,5592.00,0.7870,0.8620
11403044,CONFIRMED,4.125543472,3.17440,0.036796,4.43,0.0529,85.95,1243.0,565.35,8.450000,6174.00,1.1030,1.1620
11414511,CONFIRMED,2.816504904,2.50587,0.117059,12.21,0.0383,89.37,1219.0,521.13,9.571000,5532.00,0.9550,0.9410
11442465,FALSE POSITIVE,33.933734470,14.56100,0.095386,7.34,0.1881,86.45,430.0,8.11,13.120000,5040.00,0.7050,0.7820
12110942,CONFIRMED,3.689920099,2.65570,0.018878,1.89,0.0469,89.19,1147.0,408.99,10.710000,5880.00,0.9170,1.0100
12366084,CONFIRMED,4.431238488,3.15000,0.029330,3.25,0.0529,87.72,1104.0,351.23,10.190000,5714.00,1.0150,1.0070
12366084,CONFIRMED,11.379369860,2.62550,0.035628,3.95,0.0993,86.80,806.0,99.68,16.310000,5714.00,1.0150,1.0070
12404086,CONFIRMED,26.394328970,3.57300,0.036810,3.07,0.1635,89.28,489.0,13.49,47.700000,5129.00,0.7630,0.8460
8395660,CONFIRMED,13.570782810,3.35390,0.023908,2.64,0.1096,87.07,785.0,89.61,16.930000,5854.00,1.0120,0.9510
9579641,CONFIRMED,7.125943870,3.00140,0.015120,1.79,0.0711,84.02,997.0,233.31,8.620000,5779.00,1.0870,0.9410
11656840,FALSE POSITIVE,7.442652004,2.30780,0.143936,15.03,0.0742,89.72,967.0,206.78,27.990000,6108.00,0.9560,0.9810
11754553,CONFIRMED,16.384899880,3.02490,0.029758,2.00,0.1084,90.00,433.0,8.35,42.620000,4126.00,0.6150,0.6330
11754553,CONFIRMED,7.877416300,2.08050,0.032090,2.16,0.0665,89.92,553.0,22.18,29.840000,4126.00,0.6150,0.6330
11754553,CONFIRMED,36.445400100,4.00700,0.029681,1.99,0.1847,89.98,332.0,2.88,71.530000,4126.00,0.6150,0.6330
11812062,CONFIRMED,3.728732147,2.68300,0.068178,6.02,0.0455,86.70,1023.0,258.34,9.700000,5497.00,0.8090,0.9070
11818800,CANDIDATE,40.419503700,3.36200,0.088069,7.51,0.2062,89.05,467.0,11.29,54.700000,5446.00,0.7810,0.7140
11853255,CONFIRMED,2.243380573,1.11960,0.032248,1.99,0.0280,82.88,822.0,107.60,7.380000,4149.00,0.5640,0.5780
11909839,FALSE POSITIVE,10.405998015,6.50360,0.111248,11.23,0.0855,88.57,833.0,113.94,13.012000,5746.00,0.9240,0.7700
11918099,CONFIRMED,2.337437946,1.99820,0.027998,2.34,0.0325,88.19,1070.0,311.16,8.860000,5005.00,0.7650,0.8500
11918099,CANDIDATE,7.240661200,0.55800,0.232818,19.45,0.0692,87.62,734.0,68.63,28.800000,5005.00,0.7650,0.8500
9579641,CANDIDATE,3.435916310,3.13300,0.004612,0.55,0.0437,84.62,1272.0,617.61,6.650000,5779.00,1.0870,0.9410
11923270,CONFIRMED,11.598222330,2.52370,0.051287,2.65,0.0798,88.62,396.0,5.82,28.200000,3688.00,0.4730,0.5030
11960862,CONFIRMED,6.575315881,4.30840,0.049152,5.31,0.0670,88.03,1015.0,251.38,11.370000,5992.00,0.9890,0.9270
12020329,CONFIRMED,7.275040844,7.53770,0.051358,4.86,0.0732,85.29,833.0,113.64,6.660000,5485.00,0.8670,0.9860
12066335,CONFIRMED,19.271538920,2.75940,0.031585,1.93,0.1171,89.97,393.0,5.66,55.020000,4077.00,0.5600,0.5760
12066335,CONFIRMED,10.065243170,1.36900,0.031153,1.91,0.0760,89.22,488.0,13.43,45.900000,4077.00,0.5600,0.5760
12070811,CONFIRMED,12.393565100,3.88960,0.032536,2.66,0.0983,86.13,677.0,49.68,13.070000,5557.00,0.7500,0.8320
8395660,CONFIRMED,43.844397210,6.80200,0.025934,2.87,0.2395,88.27,531.0,18.77,28.200000,5854.00,1.0120,0.9510
3120431,FALSE POSITIVE,3.341913228,3.81300,0.243351,21.55,0.0415,56.44,1032.0,268.67,2.190000,5295.00,0.8110,0.8530
3246984,FALSE POSITIVE,1.626630225,2.11450,0.305244,32.43,0.0260,58.03,1547.0,1355.88,2.380000,5735.00,0.9730,0.8890
3342970,CONFIRMED,2.711504086,3.00990,0.026533,3.12,0.0401,89.81,1420.0,960.79,7.088000,6214.00,1.0760,1.1690
3342970,CONFIRMED,7.212037480,4.04910,0.028255,3.32,0.0770,89.95,1025.0,260.58,14.003000,6214.00,1.0760,1.1690
12459725,FALSE POSITIVE,14.179818700,2.50500,0.019561,1.88,0.1137,89.95,711.0,60.35,43.540000,5799.00,0.8780,0.9750
12470844,CONFIRMED,8.472379110,2.72450,0.030119,2.59,0.0778,89.95,751.0,75.44,24.470000,5354.00,0.7880,0.8840
12470844,CONFIRMED,60.418936900,5.03900,0.027422,2.36,0.2884,89.94,390.0,5.49,93.710000,5354.00,0.7880,0.8840
